603	41	Ad-Yu Electronics Laboratory	Y. P. Yu, President and research director; 3 electrical engineers; 1 physicist, 6 technicians, 10 auxiliaries.
611	42	Aero Design & Engineering Co.	T. R. Smith, Vice President Research and Development; 50 engineers, 25 technicians, 25 auxiliaries.
623	43	Aero Electronics Co.	T. A. Beresney, President and  research director; engineers: 1 electrical, 1 electronics, 1 mechanical; 1 physicist, 1 auxiliary’.
633	44	Aero Geo Astro Corp	A. A. Varela, Vice President and Director of Research; 21 electrical engineers, 3 mathematicians, 4 physicists, 20 technicians, 10 auxiliaries.
645	45	Aero Medical Products Co.	Allan M. Russell, President and Director of Research, 1 other professional, 1 auxiliary.
653	46	Aero Research Instrument Co.	Marvin Scadron, Director of Engineering; engineers: 3 aerodynamic, 1 electrical, 2 mechanical; 1 physicist, 3 technicians, 7 auxiliaries.
665	47	Aero Service Corp	Homer Jensen, Director, Systems Engineering Division; 1 chemist; engineers: 5 electronic, 2 geodetic, 2 mechanical; 5 geologists, 2 mathematicians, 2 physicists, 3 auxiliaries.
673	48	Aero Supply Manufacturing Co.	William H. Kafferlin, Chief Engineer; engineers: 1 aeronautical, 4 mechanical ; 5 technicians, 3 auxiliaries.
685	49	AeroChem Research Laboratories	Hartwell F. Calcote, President and Director of Research; George R. Bent II, General Manager, technical personnel director; 4 chemists; engineers: 1 aeronautical, 1 chemical, 1 electrical, 2 mechanical; 1 mathematician, 2 physicists, 4 technicians, 7 auxiliaries.
695	50	Aeroflex Corp	A. C. Scott, Chief Engineer; Timothy Trott, Assistant Chief Engineer; 2 mathematicians, 1 physicist, 6 technicians, 3 auxiliaries.
705	51	Aerolux Light Corp	P. J. Kayatt, President and  research director; 2 technicians.
715	52	Aerometric Research, Inc	Robert D. Elliott, President and research director; Robert W. DeMott, Secretary-Treasurer and technical personnel director; 17 meteorologists, 10 auxiliaries.
721	53	Aeronautical Research Associates of Prince	Coleman duP. Donaldson,  President and research director; engineers: 8 aeronautical, 1 electrical, 1 mechanical, 1 nuclear; 2 mathematicians, 1 physicist, 2 technicians, 3 auxiliaries.
733	54	Aeronca Manufacturing Co.	Joseph L. Pentecost, Chief Research Engineer; 2 aerodynamists; 3 chemists; engineers: 2 ceramics, 4 electrical, 4 mechanical; 4 mathematicians, 3 metallurgists, 8 technicians, 2 auxiliaries. | Peter A. Castruccio, Technical Director, research; W. W. Whittle, Administrative Director; 2 biologists; engineers: 16 electronics, 3 mechanical; 2 physicists, 1 psychologist, 20 technicians, 10 auxiliaries. | David Chapman, Chief Engineer, and director of research and technical personnel; engineers: 4 aeronautical, 6 mechanical ; 2 metallurgists, 5 technicians.
753	55	Aeronetics, Inc	M. H. Snedeker, President  and research director; 1 chemist; engineers: 1 aeronautical, 1 chemical, 1 industrial; 1 metallurgist, 3 technicians, 2 auxiliaries.
763	56	Aeroprojects, Inc	J. Byron Jones, President;  William B. Tarpley, Jr., Vice President, Chemical Division, and Director, Technical Personnel; 1 biologist, 6 chemists; engineers: 1 chemical, 12 mechanical, 3 electronics; 2 metallurgists, 5 physicists, 1 statistician, 69 technicians, 25 auxiliaries.  6
779	57	Aerotec Industries, Inc	A. A. Petersen, Vice President and research director; E. H. R. Pegg, Vice President and technical personnel director; engineers : 1 chemical, 1 electrical, 2 mechanical.
789	58	Aerovox Corp	Arthur J. Warner, Manager, Research and Engineering; Peter P. Grad, Technical Director; 1 chemical engineer, 11 chemists, 1 metallurgist, 14 auxiliaries. | A. Rodriguez, Director of Research and Engineering; 3 chemists; engineers: 2 ceramics, 1 chemical; 14 auxiliaries.
807	59	Aetna Casualty & Surety Co.	D. G. Vaughan, Secretary, Safety Engineering Department; and R. T. Waite, Superintendent, Research; 4 chemists; engineers: 1 electrical, 1 mechanical; 2 auxiliaries.
815	60	Aetna Chemical Co.	Ernest Davis, research director; 2 chemists, 4 technicians.
827	61	Air & Refrigeration Corp	D. A. Reinman, Research Director; J. L. Blackshaw, Co-Director and Consultant; 1 physicist.
841	62	Air Products, Inc	Clyde McKinley, Director of Research and Development; 8 chemists; engineers: 24 chemical, 5 mechanical; 2 mathematicians, 2 metallurgists, 2 physicists, 45 technicians, 20 auxiliaries.
851	63	Air Reduction Co.	Bryan C. Redmon, Director of Research; 84 chemists; engineers: 28 chemical, 5 electrical, 12 mechanical; 8 metallurgists, 4 physicists, 92 technicians, 95 auxiliaries. | Bryan C. Redmon, Director of Research; engineers: 2 chemical, 1 mechanical; 1 metallurgist, 5 technicians. | G. F. Kennedy, Director, Bound Brook Laboratories; 23 chemists, 12 chemical engineers, 15 technicians, 34 auxiliaries. | J. K. Hamilton, Manager;  7  engineers: 7 design, 4 electrical, 8 mechanical, 7 process; 31 technicians, 15 auxiliaries. | C. A. Roller, Manager; engineers : 10 construction, 4 design, 7 development, 1 process; 18 technicians, 16 auxiliaries. | C. I. MacGuffie, Manager; engineers: 4 design, 1 development, 6 process, 5 project; 6 technicians, 6 auxiliaries. | H. L. Jaffe, Technical Director ; 12 chemists, 3 technicians, 3 auxiliaries. | E. F. Fullwood, Manager, Equipment Engineering; 1 chemist; engineers: 1 aeronautical, 1 electrical, 2 mechanical; 1 technician, 10 auxiliaries. | G. E. Claussen, Director of Research and Welding Engineering; 5 chemists; engineers: 1 chemical, 2 electrical, 4 mechanical; 1 metallurgist, 3 auxiliaries.
939	64	Air Refresher Manufacturing Co.	2 engineers.
951	65	Airborne Accessories Corp	C. N. Hood II, Director of Engineering; R. W. Hebei, Manager, Actuator Engineering; M. Brown, Manager, Rotating Equipment Engineering; W. Merel, Manager, Systems Engineering; W. R. Hopkins, Manager, Industrial Products Engineering; 25 engineers, 29 technicians, 20 auxiliaries.
961	66	Aircraft Armaments, Inc	Raymond W. Wells, Director of Engineering; Douglas J. Wishart, Director of Personnel; engineers: 8 aeronautical, 48 electrical, 46 mechanical; 10 mathematicians, 1 metallurgist, 10 physicists, 3 psychologists, 200 technicians, 24 auxiliaries.
973	67	Aircraft Tools, Inc	Clayton L. Solum, Director of Research; Charles K. Stuart, Director of Personnel; 1 chemist; engineers: 1 electrical, 4 mechanical.
983	68	Airkem Inc	C. J. D’Angio, Director, research, 1 bacteriologist, 1 biologist, 12 chemists; engineers: 1 chemical, 3 mechanical; 3 technicians, 5 auxiliaries.
993	69	Air-Marine Motors, Inc	Oskar W. Giesecke, Vice President in Charge of Engineering; engineers:  8  5 electrical, 3 mechanical; 8 technicians, 16 auxiliaries.
1007	70	Airpax Electronics Inc	D. A. Robinson, Chief Engineer ; G. Speer, Personnel Director; engineers: 10 electrical, 10 electronic, 2 mechanical; 1 mathematician, 1 physicist, 5 technicians, 35 auxiliaries.
1019	71	Ajax Magnethermic Corp	Mario Tama, Director of Research ; 2 electrical engineers, 4 technicians, 2 auxiliaries. | B. E. McArthur, Senior Vice President and technical personnel director; N. V. Ross, Director of Research; engineers: 2 electrical, 1 mechanical; 2 mathematicians, 2 physicists, 3 technicians, 1 auxiliary.
1045	72	Alabama By-Products Corp	W. M. Mobley, Technical Director; 6 chemists, 1 metallurgist, 3 technicians, 18 auxiliaries.
1057	73	Alaka Research Laboratories	David Flaumenhaft, Vice  President and research director; 3 chemists, 1 chemical engineer.
1069	74	Alan Wood Steel Co.	Robert A. Lubker, Director of Research and Development; 5 metallurgists, 1 technician, 1 auxiliary.
1079	75	Albany Felt Co.	H. F. Hedberg, Vice President, Research; E. W. Dewan, Personnel Manager ; 1 biologist, 7 chemists; engineers: 1 chemical, 2 mechanical, 3 textile; 4 technicians,  -   1 auxiliary.
1091	76	Albemarle Paper Manufacturing Co.	B. S. Halsey, Assistant Technical Director; 11 chemists; engineers: 3 chemical, 1 mechanical, 3 paper; 12 auxiliaries.
1101	77	Albion Malleable Iron Co.	Franklin B. Rote, Vice President and Technical Director; 1 chemist, 4 mechanical engineers, 6 metallurgists, 22 technicians, 4 auxiliaries.
1111	78	Alcar Instruments, Inc	Edward G. Cook, Director of Research; Ralph J. D’Amato, Director of Engineering and technical personnel director; 2 chemists; engineers: 2 electrical, 2 electronics,  -   2 mechanical; 1 physicist, 6 technicians, 6 auxiliaries.
1125	79	Al-Chem Laboratory	Justin J. Alikonis, President and Director of Research; 2 chemists; engineers: 1 electrical, 1 mechanical; 2 technicians, 2 auxiliaries.
1135	80	Alco Oil & Chemical Corp	O. B. Hager, Vice President and Technical Director; C. E. Cain, Assistant Technical Director, personnel; 8 chemists, 2 chemical engineers, 4 technicians, 2 auxiliaries.
1141	81	ALCO Products, Inc	C. S. Seabring, Director, Research and Development; G. R. Griffith, Manager, General Engineering Laboratories, technical personnel director; 10 chemists; engineers: 7 chemical, 1 civil, 4 electrical, 28 mechanical; 10 metallurgists, 10 physicists, 2 other professionals, 47 technicians, 22 auxiliaries.
1153	82	Alco Valve Co.	Ralph B. Tilney, Director of Research and Development; engineers: 2 electrical, 4 mechanical; 6 technicians, 2 auxiliaries.
1163	83	Alcon Laboratories	David L. Merrill, Director of Laboratories; 3 bacteriologists, 4 chemists, 1 pharmaceutical chemist, 2 pharmacologists, 2 technicians, 7 auxiliaries.
1175	84	Alcor, Inc	Alf Hundere, President and Director of Research; 4 chemists; engineers:  -   1  electrical, 4 mechanical; 2 technicians, 10 auxiliaries.
1185	85	Aldan Rubber Co.	Theodore Kahan, Vice President, Research and Development; 3 chemists,  -   2 technicians.
1197	86	Alden Engineering Co.	Albert A. Shames, President  and research director; engineers: 1 electrical, 1 mechanical; 3 technicians, 2 auxiliaries.
1207	87	Alderson Research Laboratories	Samuel W. Alderson, President and Technical Director; 1 physicist, 2 technicians, 2 auxiliaries.
1213	88	Aldridge Industrial Oils, Inc	Frank M. Aldridge, President and technical personnel director; William Carter, research director; 2 chemists.
1225	89	Alfax Paper & Engineering Co.	Sylvester C. Sviokla, Director of Research; 2 chemists, 2 electrical engineers, 9 technicians, 8 auxiliaries.
1235	90	Alford, Andrew, Consulting Engineers	Andrew Alford, Owner and research director; engineers: 8 electrical, 1 mechanical ; 12 technicians, 38 auxiliaries.
1243	91	Algood Products, Inc	Evan Angel, President and Director of Research; 2 engineers, 1 technician, 4 auxiliaries.
1251	92	Alkyll Chemicals, Inc	O. P. Blakeslee, President  and Director of Research; Fred B. Fitch, Manager, technical personnel director; 1 biologist,  -   1 chemist; engineers: 1 aeronautical, 1 mechanical ; 1 physicist, 2 technicians, 1 auxiliary.
1265	93	Allegany Instrument Co.	Harry Stem, President and research director; Fred A. Hutchison, Personnel Manager; 1 chemist; engineers: 4 electrical,  -   2 mechanical; 1 physicist, 5 technicians, 3 auxiliaries.
1275	94	Allegheny Ludlum Steel Corp	Laurence C. Hicks, Director, Research and Development; F. S. Dietz, Supervisor, Personnel; 16 chemists; engineers: 5 electrical, 2 mechanical; 4 mathematicians, 68 metallurgists, 3 physicists, 1 psychologist, 20 technicians, 161 auxiliaries.
1287	95	Allen-Bradley Co.	Lynn H. Matthias, Vice President, Research; Eugene C. Ragatz, Technical Director, technical personnel director; 1 biologist, 12 chemists; engineers: 50 electrical, 4 ceramics, 5 chemical, 4 mechanical; 2 mathematicians, 9 physicists, 4 draftsmen, 124 technicians, 12 auxiliaries.
1299	96	Allen Industries, Inc	E. G. Goldstone, Director of Research; 2 chemists, 1 mechanical engineer, 4 technicians.
1309	97	Alles, Gordon A.	Gordon A. Alles, research  director; 1 biologist, 1 chemist, 1 technician, 1 auxiliary.
1319	98	Allied Analytical & Research Laboratories	David E. Levin, President and research director; 1 biologist, 3 chemists, 1 technician, 1 auxiliary.
1327	99	Allied Chemical Corp	Glenn A. Nesty, Vice President and corporate research director; Cortez P. Hackett, Director of Research and Development and corporate technical personnel director.  99A. CENTRAL RESEARCH LABORATORY Morristown, N. J.  Research staff: George G. Joris, Manager of Research; Charles L. Morris, technical personnel director; 65 chemists; engineers: 12 chemical, 1 mechanical, 1 textile; 88 technicians, 54 auxiliaries. | J. N. Cosby, Director, Research and Development; 1 acoustics specialist, 17 chemists; engineers: 3 chemical, 1 mechanical ; 3 technicians, 3 auxiliaries. | Howard H. Hurmence, Technical Director, research; Donald M. Holley, Manager of Personnel; 71 chemists, 64 chemical engineers, 5 entomologists, 1 metallurgist, 40 technicians, 61 auxiliaries. | W. B. Yarborough, Jr., Vice  President, Research and Engineering; 164 chemists, 32 chemical engineers, 158 technicians, 30 auxiliaries. | F. O. Agel, Vice President, Research and Development; S. P. Lingo, Laboratory Director, technical personnel; 55 chemists, 19 chemical engineers, 1 other professional, 59 technicians, 19 auxiliaries. | Maurice H. Bigelow, Vice President; 118 chemists; engineers: 31 chemical, 1 electronics, 1 mechanical; 1 physicist, 72 technicians, 55 auxiliaries. | Lawrence D. Schmidt (New York), Director of Research; H. Stuart Auvil (Ashland), Laboratory Director, technical personnel ; 5 chemists, 4 technicians. | Damon A. Peterson, Director of Operations; 22 chemists, 2 chemical engineers, 32 technicians. | Robert H. Reed, Director of Development; H. C. Wohlers, Director of Research, technical personnel; 52 chemists, 14 chemical engineers, 48 technicians, 21 auxiliaries.
1441	100	Allied Laboratories	Carl A. Bunde, Vice President, Research; H. F. Sefton, Vice President, Personnel; 29 biologists, 16 chemists, 5 physicians, 8 veterinarians, 31 technicians, 42 auxiliaries. | S. R. Bozeman, Vice President and Director; H. F. Sefton, Vice President, Personnel; 8 biologists, 4 chemists, 4 veterinarians, 6 technicians, 2 auxiliaries.
1463	101	Allied Mills, Inc	J. E. Hunter, Vice President, Research; M. J. Brinegar, Assistant Director of Research; 6 biologists, 23 chemists, 7 technicians, 28 auxiliaries. | J. E. Hunter, Vice President, Research; M. J. Brinegar, Assistant Director of Research; 2 chemists.
1481	102	Allied Paper Corp	R. M. Levy, Director of Research and Development; 3 chemists, 8 chemical engineers, 7 technicians, 4 auxiliaries.
1489	103	Allied Record Manufacturing Co.	Bruce C. Jones, Chief Engineer and research director; 3 chemists, 5 mechanical engineers, 6 technicians, 10 auxiliaries.
1501	104	Allied Research Associates, Inc	D. J. Fink, Vice President, Research; R. S. Warner, Vice President, Engineering; A. Winston, Chief Scientist; C. W. Brenner, Chief Engineer; Gustave L. Oppermann, Personnel Manager; 8 chemists; engineers : 31 aeronautical, 13 electronics, 7 mechanical, 8 mechanical design, 6 systems, 3 vibrations; 4 mathematicians, 3 metallurgists, 13 meteorologists, 22 physicists, 65 technicians, 77 auxiliaries.
1511	105	Allied Research Products, Inc	C. W. Ostrander, Technical Director; 23 chemists.
1521	106	Allied Thermal Corp	R. D. Tutt, Director of Marketing, research director; engineers: 10 mechanical (New Britain), 4 mechanical (City of Industry) ; 3 technicians, 6 auxiliaries.
1535	107	Allis, Louis, Co.	E. C. Goggio, Director of Engineering; 2 chemists; engineers: 12 electrical, 8 mechanical, 1 patent, 1 staff evaluation;  -   1 physicist, 12 technicians, 5 auxiliaries.
1547	108	Allis-Chalmers Manufacturing Co.	Harry K. Ihrig, Vice President, Research, W. Mitchell, Jr., Associate Director of Research, technical personnel directors; 27 chemists, 15 metallurgists, 11 physicists, 16 engineering scientists, 51 technicians, 21 auxiliaries.
1557	109	Allison Laboratories	D. E. O’Donnell, research director; 2 electronics engineers, 3 technicians,  -   2 auxiliaries.
1569	110	Alloy Manufacturing Co.	Av Gray, Vice President, research; 2 mechanical engineers, 1 mathematician, 2 technicians, 2 auxiliaries.
1579	111	Alloy Rods Co.	J. O. Cavanagh, Vice President in Charge of Research; 3 chemists; engineers : 2 chemical, 1 metallurgical; 4 technicians, 5 auxiliaries.
1589	112	Alloy Socket Screw Products Co.	Karl Banholzer, President and Chief Engineer; Albert Martinez, Foreman of Plant Production and Research; 2 mechanical engineers, 1 metallurgist, 1 auxiliary.
1597	113	Alloy Steel Products Co.	R. M. Davis, President and  technical personnel director; Harold C. Templeton, Chief Metallurgist and Research Director; 1 metallurgist.
1605	114	Alloyd Corp	L. McD. Schetky, Vice President, Technical Director; R. Bakish, Director of Research; 3 chemists; engineers: 1. electrical, 7 mechanical, 2 assistant; 1 mathematician, 14 metallurgists, 1 physicist, 17 technicians, 17 auxiliaries.
1613	115	All-State Welding Alloys Co.	Thomas D. Nast, President and Director of Research; Richard H. Mandel, Vice President, Personnel; 1 chemist, 1 metallurgical engineer, 1 metallurgist, 3 auxiliaries.
1621	116	All-Tronics, Inc	Harold P. Westman, Jr.,  President and research director; 1 electrical engineer, 2 technicians.
1631	117	Almasol Corp	Everette O. Walden, Vice President, research; R. J. Neely, Vice President, technical personnel; 2 chemists, 2 petroleum engineers, 1 technician, 7 auxiliaries.
1641	118	Ahnay Research and Testing Corp	
1647	119	Alox Corp	Clarence A. Weltman, Vice President and Technical Director; 4 chemists, 5 technicians, 1 auxiliary.
1659	120	Alpha Molykote Corp	Alfred Sonntag, President and research director, and Alfred Lewis, Chief Chemist, technical personnel directors; 1 chemist, 3 mechanical engineers, 5 auxiliaries.
1667	121	Alton Foundry and Machine Works, Inc	Fred R. Bayne, Chief Engineer ; 1 chemist, 2 mechanical engineers, 1 metallurgist, 2 technicians, 2 auxiliaries.
1673	122	Alto Scientific Co.	David Cherry, General Manager; 6 electronic engineers.
1683	123	Alton Box Board Co.	James R. Lyon, Director of Research; 2 chemists.
1693	124	Aluminum Co.	Kent R. Van Hom, Director of Research; M. W. Daugherty, Secretary and technical personnel director; 79 chemists; engineers: 6 ceramics, 38 chemical, 16 electrical, 13 engineering mechanics, 34 mechanical, 50 metallurgical; 17 metallurgists, 6 physicists, 328 technicians, 193 auxiliaries. | R. A. Schatzel, Vice President and Director of Engineering; G. L. McCutchan, Director of Research; 8 chemists; engineers: 5 electrical, 1 mechanical; 2 metallurgists, 1 physicist, 11 technicians, 5 auxiliaries.
1719	125	Aluminum Industries, Inc	Robert W. Pollitt, Chief Engineer and research director; John E. McBrady, Director of Industrial Relations; engineers: 1 industrial, 1 mechanical; 2 metallurgists.
1729	126	Amalgamated Chemical Corp	Harold B. Dohner, President  -   130. Amerac, Inc., Dunham Rd., Beverly, Mass.  .  (C/)  President: E. A. Hoggard.  Research staff: T. Alden Matsubara, Chief Engineer and research director; engineers: 7 electronics, 1 mechanical; 8 technicians. | W. M. Bergin, Director, Research and Development; E. J. Macchia, Personnel Manager; engineers: 9 chemical, 14 mechanical; 4 other professionals, 6 technicians,  -   2 auxiliaries. | C. G. Munger, Vice President, Research and Manufacturing; 10 chemists, 1 chemical engineer, 9 auxiliaries. | Walter Alexander, Sr., President, Nathan B. Leitner, Chief Chemist, technical personnel directors; 4 chemists, 2 auxiliaries. | H. H. Selby, Chief Chemist;  -   3 chemists. | G. H. Benham, Director, Research and Process Development; 3 biologists, 10 chemists; engineers: 7 chemical, 2 mechanical; 10 technicians, 3 auxiliaries.  and technical personnel director; John M. Jester, Jr., Research Director; 2 chemists, 3 technicians.
1799	127	Amber Laboratories	Sheldon Bernstein, Vice President and Director of Research; Norman N. Bernstein, Vice President and technical personnel director; 2 biologists, 2 chemists, 1 chemical engineer, 3 auxiliaries.
1809	128	Arncel Propulsion, Inc	Clayton Huggett, Director of Research and Development; E. O. Whitman, Personnel Director; 8 chemists; engineers: 3 chemical, 2 mechanical; 2 mathematicians, 2 metallurgists, 2 physicists, 5 technicians, 5 auxiliaries.
1819	129	Amchem Products, Inc	
1735	130	Amerac, Inc	T. Alden Matsubara, Chief Engineer and research director; engineers: 7 electronics, 1 mechanical; 8 technicians.
1745	131	Amerace Corp	W. M. Bergin, Director, Research and Development; E. J. Macchia, Personnel Manager; engineers: 9 chemical, 14 mechanical; 4 other professionals, 6 technicians,  -   2 auxiliaries.
1757	132	Amercoat Corp	C. G. Munger, Vice President, Research and Manufacturing; 10 chemists, 1 chemical engineer, 9 auxiliaries.
1767	133	American Adhesive Manufacturing Co.	Walter Alexander, Sr., President, Nathan B. Leitner, Chief Chemist, technical personnel directors; 4 chemists, 2 auxiliaries.
1777	134	American Agar and Chemical Co.	H. H. Selby, Chief Chemist;  -   3 chemists.
